DateTime,New Addresses,Active Addresses,Zero Balance Addresses,Price
2009-01-03T00:00:00.000Z,1,1,,
2009-01-04T00:00:00.000Z,,,,
2009-01-05T00:00:00.000Z,,,,
2009-01-06T00:00:00.000Z,,,,
2009-01-07T00:00:00.000Z,,,,
2009-01-08T00:00:00.000Z,,,,
2009-01-09T00:00:00.000Z,14,14,,
2009-01-10T00:00:00.000Z,61,61,,
2009-01-11T00:00:00.000Z,93,93,,
2009-01-12T00:00:00.000Z,101,102,2,
2009-01-13T00:00:00.000Z,123,123,,
2009-01-14T00:00:00.000Z,130,133,3,
2009-01-15T00:00:00.000Z,132,140,7,
2009-01-16T00:00:00.000Z,110,114,4,
2009-01-17T00:00:00.000Z,109,109,,
2009-01-18T00:00:00.000Z,108,111,3,
2009-01-19T00:00:00.000Z,116,133,16,
2009-01-20T00:00:00.000Z,115,123,8,
2009-01-21T00:00:00.000Z,103,105,2,
2009-01-22T00:00:00.000Z,91,102,10,
2009-01-23T00:00:00.000Z,85,95,9,
2009-01-24T00:00:00.000Z,202,212,10,
2009-01-25T00:00:00.000Z,192,193,1,
2009-01-26T00:00:00.000Z,96,117,20,
2009-01-27T00:00:00.000Z,98,101,3,
2009-01-28T00:00:00.000Z,112,112,,
2009-01-29T00:00:00.000Z,121,134,12,
2009-01-30T00:00:00.000Z,117,117,,
2009-01-31T00:00:00.000Z,139,159,20,
2009-02-01T00:00:00.000Z,114,116,2,
2009-02-02T00:00:00.000Z,129,130,1,
2009-02-03T00:00:00.000Z,149,154,1,
2009-02-04T00:00:00.000Z,119,119,,
2009-02-05T00:00:00.000Z,126,126,,
2009-02-06T00:00:00.000Z,122,122,,
2009-02-07T00:00:00.000Z,133,156,23,
2009-02-08T00:00:00.000Z,133,134,1,
2009-02-09T00:00:00.000Z,134,179,44,
2009-02-10T00:00:00.000Z,120,120,,
2009-02-11T00:00:00.000Z,135,147,14,
2009-02-12T00:00:00.000Z,119,119,,
2009-02-13T00:00:00.000Z,124,124,,
2009-02-14T00:00:00.000Z,136,136,,
2009-02-15T00:00:00.000Z,131,142,13,
2009-02-16T00:00:00.000Z,122,153,30,
2009-02-17T00:00:00.000Z,117,117,,
2009-02-18T00:00:00.000Z,118,118,,
2009-02-19T00:00:00.000Z,124,141,16,
2009-02-20T00:00:00.000Z,122,122,,
2009-02-21T00:00:00.000Z,114,114,,
2009-02-22T00:00:00.000Z,125,133,11,
2009-02-23T00:00:00.000Z,108,108,,
2009-02-24T00:00:00.000Z,106,106,,
2009-02-25T00:00:00.000Z,105,105,,
2009-02-26T00:00:00.000Z,107,107,,
2009-02-27T00:00:00.000Z,115,152,36,
2009-02-28T00:00:00.000Z,99,107,7,
2009-03-01T00:00:00.000Z,105,105,,
2009-03-02T00:00:00.000Z,108,108,,
2009-03-03T00:00:00.000Z,105,114,8,
2009-03-04T00:00:00.000Z,104,130,24,
2009-03-05T00:00:00.000Z,112,121,8,
2009-03-06T00:00:00.000Z,117,117,,
2009-03-07T00:00:00.000Z,109,109,,
2009-03-08T00:00:00.000Z,117,142,26,
2009-03-09T00:00:00.000Z,108,108,,
2009-03-10T00:00:00.000Z,107,107,,
2009-03-11T00:00:00.000Z,114,114,,
2009-03-12T00:00:00.000Z,119,122,3,
2009-03-13T00:00:00.000Z,113,127,13,
2009-03-14T00:00:00.000Z,110,110,,
2009-03-15T00:00:00.000Z,123,123,,
2009-03-16T00:00:00.000Z,121,170,48,
2009-03-17T00:00:00.000Z,114,114,,
2009-03-18T00:00:00.000Z,114,129,14,
2009-03-19T00:00:00.000Z,122,122,,
2009-03-20T00:00:00.000Z,118,131,12,
2009-03-21T00:00:00.000Z,50,50,,
2009-03-22T00:00:00.000Z,119,131,11,
2009-03-23T00:00:00.000Z,130,130,,
2009-03-24T00:00:00.000Z,105,105,,
2009-03-25T00:00:00.000Z,117,117,,
2009-03-26T00:00:00.000Z,117,146,28,
2009-03-27T00:00:00.000Z,106,106,,
2009-03-28T00:00:00.000Z,119,140,20,
2009-03-29T00:00:00.000Z,116,116,,
2009-03-30T00:00:00.000Z,120,120,,
2009-03-31T00:00:00.000Z,110,143,32,
2009-04-01T00:00:00.000Z,114,114,,
2009-04-02T00:00:00.000Z,115,115,,
2009-04-03T00:00:00.000Z,116,116,,
2009-04-04T00:00:00.000Z,113,113,,
2009-04-05T00:00:00.000Z,130,148,17,
2009-04-06T00:00:00.000Z,109,109,,
2009-04-07T00:00:00.000Z,100,100,,
2009-04-08T00:00:00.000Z,105,105,,
2009-04-09T00:00:00.000Z,99,99,,
2009-04-10T00:00:00.000Z,108,108,,
2009-04-11T00:00:00.000Z,121,128,7,
2009-04-12T00:00:00.000Z,119,127,8,
2009-04-13T00:00:00.000Z,116,117,,
2009-04-14T00:00:00.000Z,124,124,,
2009-04-15T00:00:00.000Z,113,113,,
2009-04-16T00:00:00.000Z,123,123,,
2009-04-17T00:00:00.000Z,112,112,,
2009-04-18T00:00:00.000Z,128,131,2,
2009-04-19T00:00:00.000Z,119,128,8,
2009-04-20T00:00:00.000Z,120,236,115,
2009-04-21T00:00:00.000Z,124,125,,
