DateTime,Price,Out,At,In
2010-07-17T00:00:00.000Z,0.04951,0,0.006392,0.993608
2010-07-18T00:00:00.000Z,0.07263,0,0.006419,0.993581
2010-07-19T00:00:00.000Z,0.08515,0,0.013306,0.986694
2010-07-20T00:00:00.000Z,0.078035,0,0.018507,0.981493
2010-07-21T00:00:00.000Z,0.072775,0,0.022489,0.977511
2010-07-22T00:00:00.000Z,0.066155,0.006033,0.020848,0.973119
2010-07-23T00:00:00.000Z,0.059085,0.015186,0.019895,0.964919
2010-07-24T00:00:00.000Z,0.05605,0.018693,0.019977,0.96133
2010-07-25T00:00:00.000Z,0.054955,0.022415,0.020851,0.956734
2010-07-26T00:00:00.000Z,0.053,0.022183,0.025144,0.952673
2010-07-27T00:00:00.000Z,0.05675,0.017721,0.033453,0.948826
2010-07-28T00:00:00.000Z,0.058,0.017206,0.036248,0.946547
2010-07-29T00:00:00.000Z,0.0635,0.009337,0.038422,0.952242
2010-07-30T00:00:00.000Z,0.064,0.00921,0.041323,0.949467
2010-07-31T00:00:00.000Z,0.062445,0.016232,0.037593,0.946175
2010-08-01T00:00:00.000Z,0.0625,0.015929,0.041378,0.942693
2010-08-02T00:00:00.000Z,0.06165,0.015857,0.043925,0.940217
2010-08-03T00:00:00.000Z,0.062,0.015448,0.046529,0.938023
2010-08-04T00:00:00.000Z,0.059655,0.015344,0.055174,0.929483
2010-08-05T00:00:00.000Z,0.0595,0.015255,0.057618,0.927127
2010-08-06T00:00:00.000Z,0.06155,0.014927,0.054918,0.930155
2010-08-07T00:00:00.000Z,0.0606,0.01483,0.056869,0.928301
2010-08-08T00:00:00.000Z,0.06,0.014854,0.063714,0.921431
2010-08-09T00:00:00.000Z,0.0664,0.008026,0.055795,0.936179
2010-08-10T00:00:00.000Z,0.068705,0.007923,0.04194,0.950138
2010-08-11T00:00:00.000Z,0.067705,0.00784,0.047222,0.944938
2010-08-12T00:00:00.000Z,0.065705,0.007775,0.064258,0.927968
2010-08-13T00:00:00.000Z,0.06625,0.007693,0.065512,0.926794
2010-08-14T00:00:00.000Z,0.067,0.007631,0.05909,0.933278
2010-08-15T00:00:00.000Z,0.066,0.007636,0.070621,0.921743
2010-08-16T00:00:00.000Z,0.06495,0.013668,0.066298,0.920034
2010-08-17T00:00:00.000Z,0.069665,0.007503,0.035241,0.957256
2010-08-18T00:00:00.000Z,0.07015,0.007393,0.023381,0.969226
2010-08-19T00:00:00.000Z,0.0673,0.013465,0.037979,0.948556
2010-08-20T00:00:00.000Z,0.06585,0.01871,0.039816,0.941473
2010-08-21T00:00:00.000Z,0.06565,0.021114,0.039838,0.939047
2010-08-22T00:00:00.000Z,0.0638,0.032299,0.045718,0.921982
2010-08-23T00:00:00.000Z,0.064945,0.023591,0.044743,0.931665
2010-08-24T00:00:00.000Z,0.065705,0.020488,0.046784,0.932727
2010-08-25T00:00:00.000Z,0.0653,0.020415,0.049698,0.929887
2010-08-26T00:00:00.000Z,0.0649,0.025199,0.046962,0.927839
2010-08-27T00:00:00.000Z,0.064,0.033663,0.048572,0.917765
2010-08-28T00:00:00.000Z,0.06455,0.02781,0.047982,0.924208
2010-08-29T00:00:00.000Z,0.0644,0.030371,0.053086,0.916543
2010-08-30T00:00:00.000Z,0.050555,0.11336,0.011056,0.875585
2010-08-31T00:00:00.000Z,0.06245,0.027181,0.077095,0.895725
2010-09-01T00:00:00.000Z,0.061255,0.04752,0.061749,0.890731
2010-09-02T00:00:00.000Z,0.06175,0.036441,0.073755,0.889804
2010-09-03T00:00:00.000Z,0.061925,0.034189,0.07853,0.887281
2010-09-04T00:00:00.000Z,0.06179,0.035888,0.078432,0.88568
2010-09-05T00:00:00.000Z,0.06225,0.028636,0.084934,0.88643
2010-09-06T00:00:00.000Z,0.06215,0.031072,0.083596,0.885332
2010-09-07T00:00:00.000Z,0.061155,0.047558,0.071647,0.880794
2010-09-08T00:00:00.000Z,0.061495,0.04534,0.075478,0.879182
2010-09-09T00:00:00.000Z,0.061745,0.044915,0.077578,0.877507
2010-09-10T00:00:00.000Z,0.06097,0.053893,0.07045,0.875658
2010-09-11T00:00:00.000Z,0.06345,0.021058,0.099178,0.879764
2010-09-12T00:00:00.000Z,0.0618,0.042277,0.084149,0.873575
2010-09-13T00:00:00.000Z,0.06235,0.027675,0.097259,0.875066
2010-09-14T00:00:00.000Z,0.118,0,0.005151,0.994849
2010-09-15T00:00:00.000Z,0.06145,0.010706,0.136612,0.852682
2010-09-16T00:00:00.000Z,0.06185,0.010021,0.135139,0.854839
2010-09-17T00:00:00.000Z,0.05995,0.015582,0.13585,0.848569
2010-09-18T00:00:00.000Z,0.059305,0.015301,0.138127,0.846573
2010-09-19T00:00:00.000Z,0.06135,0.009396,0.144383,0.846221
2010-09-20T00:00:00.000Z,0.0627,0.009255,0.14324,0.847505
2010-09-21T00:00:00.000Z,0.0628,0.00918,0.143898,0.846922
2010-09-22T00:00:00.000Z,0.061935,0.009057,0.146154,0.844789
2010-09-23T00:00:00.000Z,0.06225,0.008906,0.148036,0.843057
2010-09-24T00:00:00.000Z,0.062245,0.008888,0.149808,0.841304
2010-09-25T00:00:00.000Z,0.06205,0.00888,0.150563,0.840556
2010-09-26T00:00:00.000Z,0.06207,0.008868,0.151788,0.839344
2010-09-27T00:00:00.000Z,0.06209,0.008839,0.153857,0.837304
2010-09-28T00:00:00.000Z,0.062205,0.008929,0.157261,0.83381
2010-09-29T00:00:00.000Z,0.06175,0.008833,0.15828,0.832887
2010-09-30T00:00:00.000Z,0.061725,0.008816,0.159902,0.831283
2010-10-01T00:00:00.000Z,0.061945,0.008787,0.161039,0.830175
2010-10-02T00:00:00.000Z,0.06158,0.008778,0.162025,0.829198
2010-10-03T00:00:00.000Z,0.0612,0.011166,0.160822,0.828012
2010-10-04T00:00:00.000Z,0.061405,0.008739,0.163677,0.827584
2010-10-05T00:00:00.000Z,0.061955,0.008713,0.164582,0.826704
2010-10-06T00:00:00.000Z,0.06235,0.008649,0.16435,0.827001
2010-10-07T00:00:00.000Z,0.0649,0.008507,0.165134,0.826359
2010-10-08T00:00:00.000Z,0.049,0.15613,0.022896,0.820974
2010-10-09T00:00:00.000Z,0.094,0,0.020723,0.979277
2010-10-10T00:00:00.000Z,0.105045,0,0.013695,0.986305
2010-10-11T00:00:00.000Z,0.097,0,0.024945,0.975055
2010-10-12T00:00:00.000Z,0.0905,0.001896,0.034818,0.963286
2010-10-13T00:00:00.000Z,0.0985,0,0.02471,0.97529
2010-10-14T00:00:00.000Z,0.08475,0.004643,0.035857,0.959501
2010-10-15T00:00:00.000Z,0.1055,0,0.019451,0.980549
2010-10-16T00:00:00.000Z,0.1015,0,0.029582,0.970418
2010-10-17T00:00:00.000Z,0.10225,0,0.032796,0.967204
2010-10-18T00:00:00.000Z,0.1,0,0.035789,0.964211
2010-10-19T00:00:00.000Z,0.09945,0.001848,0.038451,0.959702
2010-10-20T00:00:00.000Z,0.0985,0.001844,0.040943,0.957214
2010-10-21T00:00:00.000Z,0.103,0,0.043617,0.956383
2010-10-22T00:00:00.000Z,0.10525,0,0.039465,0.960535
2010-10-23T00:00:00.000Z,0.10675,0,0.041971,0.958029
2010-10-24T00:00:00.000Z,0.149,0,0.006011,0.993989
2010-10-25T00:00:00.000Z,0.140045,0,0.011196,0.988804
2010-10-26T00:00:00.000Z,0.1565,0,0.014556,0.985444
2010-10-27T00:00:00.000Z,0.1705,0,0.017805,0.982195
2010-10-28T00:00:00.000Z,0.18205,0,0.019018,0.980982
2010-10-29T00:00:00.000Z,0.1815,0,0.020551,0.979449
2010-10-30T00:00:00.000Z,0.19325,0,0.020854,0.979146
2010-10-31T00:00:00.000Z,0.18495,0,0.025706,0.974294
2010-11-01T00:00:00.000Z,0.18375,0,0.027587,0.972413
2010-11-02T00:00:00.000Z,0.19275,0,0.02704,0.97296
2010-11-03T00:00:00.000Z,0.2,0,0.025924,0.974076
2010-11-04T00:00:00.000Z,0.2147,0,0.024059,0.975941
2010-11-05T00:00:00.000Z,0.237,0,0,1
2010-11-06T00:00:00.000Z,0.3701,0,0.00491,0.99509
2010-11-07T00:00:00.000Z,0.378,0,0.008986,0.991014
2010-11-08T00:00:00.000Z,0.29805,0.004781,0.006529,0.98869
2010-11-09T00:00:00.000Z,0.261,0.004346,0.011874,0.983781
2010-11-10T00:00:00.000Z,0.19,0.013552,0.022684,0.963763
2010-11-11T00:00:00.000Z,0.225,0.010741,0.018639,0.97062
2010-11-12T00:00:00.000Z,0.2565,0.007511,0.013237,0.979252
2010-11-13T00:00:00.000Z,0.28415,0.003462,0.014305,0.982233
2010-11-14T00:00:00.000Z,0.2846,0.003401,0.015783,0.980816
2010-11-15T00:00:00.000Z,0.2755,0.003393,0.021359,0.975248
2010-11-16T00:00:00.000Z,0.249,0.006185,0.026162,0.967653
2010-11-17T00:00:00.000Z,0.2508,0.006049,0.029249,0.964702
2010-11-18T00:00:00.000Z,0.25255,0.006016,0.03234,0.961644
2010-11-19T00:00:00.000Z,0.2741,0.003166,0.032187,0.964647
2010-11-20T00:00:00.000Z,0.2791,0.003158,0.035307,0.961535
2010-11-21T00:00:00.000Z,0.27915,0.003134,0.038061,0.958805
2010-11-22T00:00:00.000Z,0.27845,0.003112,0.040366,0.956522
2010-11-23T00:00:00.000Z,0.28025,0.003027,0.03993,0.957044
2010-11-24T00:00:00.000Z,0.27955,0.002941,0.042728,0.95433
2010-11-25T00:00:00.000Z,0.28025,0.00285,0.046797,0.950353
2010-11-26T00:00:00.000Z,0.28255,0.002776,0.049572,0.947652
2010-11-27T00:00:00.000Z,0.2835,0.002772,0.051997,0.945231
2010-11-28T00:00:00.000Z,0.2773,0.002748,0.054639,0.942614
2010-11-29T00:00:00.000Z,0.24705,0.016975,0.045928,0.937097
2010-11-30T00:00:00.000Z,0.21695,0.050201,0.021628,0.928171
2010-12-01T00:00:00.000Z,0.2197,0.044352,0.028237,0.927411
2010-12-02T00:00:00.000Z,0.23665,0.03615,0.03368,0.93017
2010-12-03T00:00:00.000Z,0.2491,0.007006,0.062167,0.930826
2010-12-04T00:00:00.000Z,0.23195,0.03348,0.040905,0.925616
2010-12-05T00:00:00.000Z,0.2125,0.049235,0.035023,0.915742
2010-12-06T00:00:00.000Z,0.20455,0.060051,0.025557,0.914393
2010-12-07T00:00:00.000Z,0.2089,0.056237,0.031921,0.911842
2010-12-08T00:00:00.000Z,0.23,0.038113,0.037691,0.924197
2010-12-09T00:00:00.000Z,0.20155,0.0647,0.031727,0.903573
2010-12-10T00:00:00.000Z,0.19325,0.076871,0.02564,0.897489
2010-12-11T00:00:00.000Z,0.20935,0.05881,0.035209,0.905981
2010-12-12T00:00:00.000Z,0.21735,0.051313,0.042388,0.906298
2010-12-13T00:00:00.000Z,0.22,0.04652,0.044343,0.909137
2010-12-14T00:00:00.000Z,0.2284,0.04214,0.040642,0.917218
2010-12-15T00:00:00.000Z,0.242,0.030597,0.035435,0.933968
2010-12-16T00:00:00.000Z,0.2386,0.033065,0.03901,0.927925
2010-12-17T00:00:00.000Z,0.2445,0.029927,0.035256,0.934818
2010-12-18T00:00:00.000Z,0.2449,0.029762,0.039893,0.930345
2010-12-19T00:00:00.000Z,0.24495,0.028959,0.04423,0.926811
2010-12-20T00:00:00.000Z,0.2575,0.027013,0.033778,0.93921
2010-12-21T00:00:00.000Z,0.2535,0.026881,0.043412,0.929708
2010-12-22T00:00:00.000Z,0.247,0.026956,0.054177,0.918868
2010-12-23T00:00:00.000Z,0.2455,0.028226,0.060024,0.91175
2010-12-24T00:00:00.000Z,0.246,0.028053,0.063058,0.908888
2010-12-25T00:00:00.000Z,0.24875,0.026401,0.066673,0.906926
2010-12-26T00:00:00.000Z,0.2582,0.026024,0.058409,0.915567
2010-12-27T00:00:00.000Z,0.2605,0.022506,0.052534,0.92496
2010-12-28T00:00:00.000Z,0.2711,0.004276,0.044182,0.951542
2010-12-29T00:00:00.000Z,0.286,0.002219,0.034251,0.96353
2010-12-30T00:00:00.000Z,0.2955,0.00217,0.020167,0.977663
2010-12-31T00:00:00.000Z,0.296,0.002133,0.024046,0.97382
2011-01-01T00:00:00.000Z,0.296,0.002127,0.028096,0.969777
2011-01-02T00:00:00.000Z,0.2945,0.002109,0.031543,0.966348
2011-01-03T00:00:00.000Z,0.29495,0.002077,0.035851,0.962072
2011-01-04T00:00:00.000Z,0.29445,0.002086,0.03933,0.958584
2011-01-05T00:00:00.000Z,0.2945,0.002087,0.041732,0.956181
2011-01-06T00:00:00.000Z,0.2945,0.002071,0.043739,0.95419
2011-01-07T00:00:00.000Z,0.30975,0.002051,0.008506,0.989443
2011-01-08T00:00:00.000Z,0.31595,0.00203,0.011144,0.986825
2011-01-09T00:00:00.000Z,0.32295,0.002026,0.01067,0.987304
2011-01-10T00:00:00.000Z,0.32325,0.00202,0.01525,0.982729
2011-01-11T00:00:00.000Z,0.3221,0.002001,0.019176,0.978823
2011-01-12T00:00:00.000Z,0.33685,0.001996,0.00636,0.991644
2011-01-13T00:00:00.000Z,0.3613,0.001044,0.007505,0.991451
2011-01-14T00:00:00.000Z,0.3838,0,0,1
2011-01-15T00:00:00.000Z,0.3925,0,0.011663,0.988337
2011-01-16T00:00:00.000Z,0.393,0,0.015955,0.984045
2011-01-17T00:00:00.000Z,0.3509,0.016259,0.011413,0.972328
2011-01-18T00:00:00.000Z,0.32725,0.025732,0.022551,0.951716
2011-01-19T00:00:00.000Z,0.309,0.042239,0.015276,0.942484
2011-01-20T00:00:00.000Z,0.35,0.014025,0.019608,0.966367
2011-01-21T00:00:00.000Z,0.404,0,0.018903,0.981097
2011-01-22T00:00:00.000Z,0.41715,0,0.014388,0.985612
2011-01-23T00:00:00.000Z,0.43215,0,0.013861,0.986139
2011-01-24T00:00:00.000Z,0.4117,0,0.030079,0.969921
2011-01-25T00:00:00.000Z,0.4125,0,0.033669,0.966331
2011-01-26T00:00:00.000Z,0.4052,0.004478,0.033327,0.962195
2011-01-27T00:00:00.000Z,0.42925,0,0.025924,0.974076
2011-01-28T00:00:00.000Z,0.4336,0,0.030263,0.969737
2011-01-29T00:00:00.000Z,0.4375,0,0.025816,0.974184
2011-01-30T00:00:00.000Z,0.4625,0,0.006904,0.993096
2011-01-31T00:00:00.000Z,0.71,0,0.00804,0.99196
2011-02-01T00:00:00.000Z,0.68505,0,0.013791,0.986209
