DateTime,MV Ratio,Price
2013-04-22T00:00:00.000Z,0.421517,135.54
2013-04-29T00:00:00.000Z,2.51,117.66
2013-05-06T00:00:00.000Z,2.44,113.35
2013-05-13T00:00:00.000Z,2.5,117.63
2013-05-20T00:00:00.000Z,2.62,126.58
2013-05-27T00:00:00.000Z,2.57,128.07
2013-06-03T00:00:00.000Z,1.97,114.75
2013-06-10T00:00:00.000Z,2.03,103.64
2013-06-17T00:00:00.000Z,2.08,107.72
2013-06-24T00:00:00.000Z,1.96,100.71
2013-07-01T00:00:00.000Z,1.6,79.94
2013-07-08T00:00:00.000Z,1.68,86.75
2013-07-15T00:00:00.000Z,1.84,94.15
2013-07-22T00:00:00.000Z,1.84,94.85
2013-07-29T00:00:00.000Z,2.01,104.47
2013-08-05T00:00:00.000Z,1.99,104.79
2013-08-12T00:00:00.000Z,2.07,110.02
2013-08-19T00:00:00.000Z,2.22,120.5
2013-08-26T00:00:00.000Z,2.32,132.8
2013-09-02T00:00:00.000Z,2.28,134.64
2013-09-09T00:00:00.000Z,2.25,137.38
2013-09-16T00:00:00.000Z,2.19,136.79
2013-09-23T00:00:00.000Z,2.17,137.73
2013-09-30T00:00:00.000Z,2.13,134.66
2013-10-07T00:00:00.000Z,2.11,139.85
2013-10-14T00:00:00.000Z,2.39,162.67
2013-10-21T00:00:00.000Z,2.71,198.85
2013-10-28T00:00:00.000Z,2.76,211.53
2013-11-04T00:00:00.000Z,3.45,294.57
2013-11-11T00:00:00.000Z,4.12,420.35
2013-11-18T00:00:00.000Z,4.91,713.59
2013-11-25T00:00:00.000Z,4.67,1029.05
2013-12-02T00:00:00.000Z,3.81,978.37
2013-12-09T00:00:00.000Z,3.29,921.55
2013-12-16T00:00:00.000Z,2.42,682.04
2013-12-23T00:00:00.000Z,2.49,738.41
2013-12-30T00:00:00.000Z,2.79,852.69
2014-01-06T00:00:00.000Z,2.86,957.16
2014-01-13T00:00:00.000Z,2.66,921.17
2014-01-20T00:00:00.000Z,2.62,954.47
2014-01-27T00:00:00.000Z,2.51,946.08
2014-02-03T00:00:00.000Z,2.26,816.67
2014-02-10T00:00:00.000Z,1.96,484.16
2014-02-17T00:00:00.000Z,1.9,246.31
2014-02-24T00:00:00.000Z,1.81,443.52
2014-03-03T00:00:00.000Z,2.01,634.21
2014-03-10T00:00:00.000Z,1.91,619.25
2014-03-17T00:00:00.000Z,1.79,579.74
2014-03-24T00:00:00.000Z,1.63,515.26
2014-03-31T00:00:00.000Z,1.39,445.53
2014-04-07T00:00:00.000Z,1.3,444.15
2014-04-14T00:00:00.000Z,1.52,497.51
2014-04-21T00:00:00.000Z,1.44,482.35
2014-04-28T00:00:00.000Z,1.35,443.79
2014-05-05T00:00:00.000Z,1.34,441.6
2014-05-12T00:00:00.000Z,1.36,444.58
2014-05-19T00:00:00.000Z,1.55,499.07
2014-05-26T00:00:00.000Z,1.79,591.17
2014-06-02T00:00:00.000Z,1.93,649.15
2014-06-09T00:00:00.000Z,1.75,619.62
2014-06-16T00:00:00.000Z,1.71,599.6
2014-06-23T00:00:00.000Z,1.67,589.85
2014-06-30T00:00:00.000Z,1.8,630.14
2014-07-07T00:00:00.000Z,1.75,622.54
2014-07-14T00:00:00.000Z,1.74,622.93
2014-07-21T00:00:00.000Z,1.69,611.07
2014-07-28T00:00:00.000Z,1.62,585.99
2014-08-04T00:00:00.000Z,1.62,592.37
2014-08-11T00:00:00.000Z,1.45,532.29
2014-08-18T00:00:00.000Z,1.38,498.03
2014-08-25T00:00:00.000Z,1.39,508.46
2014-09-01T00:00:00.000Z,1.33,483.94
2014-09-08T00:00:00.000Z,1.32,477.65
2014-09-15T00:00:00.000Z,1.2,438.18
2014-09-22T00:00:00.000Z,1.14,410.16
2014-09-29T00:00:00.000Z,1.03,367.29
2014-10-06T00:00:00.000Z,1.02,350.46
2014-10-13T00:00:00.000Z,1.13,386.58
2014-10-20T00:00:00.000Z,1.06,367.03
2014-10-27T00:00:00.000Z,0.989863,340.71
2014-11-03T00:00:00.000Z,1.01,338.62
2014-11-10T00:00:00.000Z,1.15,392.31
2014-11-17T00:00:00.000Z,1.08,371.41
2014-11-24T00:00:00.000Z,1.11,375.38
2014-12-01T00:00:00.000Z,1.12,376.47
2014-12-08T00:00:00.000Z,1.06,353.63
2014-12-15T00:00:00.000Z,0.986379,326.9
2014-12-22T00:00:00.000Z,0.993919,324.6
2014-12-29T00:00:00.000Z,0.938738,306.73
2015-01-05T00:00:00.000Z,0.883454,279.8
2015-01-12T00:00:00.000Z,0.676678,217.53
2015-01-19T00:00:00.000Z,0.744638,227.41
2015-01-26T00:00:00.000Z,0.666269,243.51
2015-02-02T00:00:00.000Z,0.738068,226.75
2015-02-09T00:00:00.000Z,0.755124,229.17
2015-02-16T00:00:00.000Z,0.788873,239.95
2015-02-23T00:00:00.000Z,0.809164,242.64
2015-03-02T00:00:00.000Z,0.907281,273.07
2015-03-09T00:00:00.000Z,0.957021,289
2015-03-16T00:00:00.000Z,0.88951,269.24
2015-03-23T00:00:00.000Z,0.830274,250.65
2015-03-30T00:00:00.000Z,0.838218,248.99
2015-04-06T00:00:00.000Z,0.815761,244.18
2015-04-13T00:00:00.000Z,0.75397,223.79
2015-04-20T00:00:00.000Z,0.777181,229.11
2015-04-27T00:00:00.000Z,0.789044,231.62
2015-05-04T00:00:00.000Z,0.810479,238.44
2015-05-11T00:00:00.000Z,0.811611,238.17
2015-05-18T00:00:00.000Z,0.808598,236.25
2015-05-25T00:00:00.000Z,0.808523,236.17
