DateTime,All Miners,Poolin,Viabtc,1thash&58coin,Antpool,Binance,Bitclub Network,Bitfury,Bixin,Btc.Top,Btcc Pool,Btccom,Bw.Com,F2pool,Foundryusapool,Huobi.Pool,Slushpool,Others,Unknown
2009-01-03T00:00:00.000Z,50,,,,,,,,,,,,,,,,,,50
2009-01-04T00:00:00.000Z,,,,,,,,,,,,,,,,,,,
2009-01-05T00:00:00.000Z,,,,,,,,,,,,,,,,,,,
2009-01-06T00:00:00.000Z,,,,,,,,,,,,,,,,,,,
2009-01-07T00:00:00.000Z,,,,,,,,,,,,,,,,,,,
2009-01-08T00:00:00.000Z,,,,,,,,,,,,,,,,,,,
2009-01-09T00:00:00.000Z,700,,,,,,,,,,,,,,,,,,700
2009-01-10T00:00:00.000Z,3050,,,,,,,,,,,,,,,,,,3050
2009-01-11T00:00:00.000Z,4650,,,,,,,,,,,,,,,,,,4650
2009-01-12T00:00:00.000Z,4689,,,,,,,,,,,,,,,,,,4689
2009-01-13T00:00:00.000Z,6150,,,,,,,,,,,,,,,,,,6150
2009-01-14T00:00:00.000Z,6389,,,,,,,,,,,,,,,,,,6389
2009-01-15T00:00:00.000Z,5950,,,,,,,,,,,,,,,,,,5950
2009-01-16T00:00:00.000Z,5300,,,,,,,,,,,,,,,,,,5300
2009-01-17T00:00:00.000Z,5450,,,,,,,,,,,,,,,,,,5450
2009-01-18T00:00:00.000Z,5200,,,,,,,,,,,,,,,,,,5200
2009-01-19T00:00:00.000Z,5750,,,,,,,,,,,,,,,,,,5750
2009-01-20T00:00:00.000Z,5700,,,,,,,,,,,,,,,,,,5700
2009-01-21T00:00:00.000Z,5000,,,,,,,,,,,,,,,,,,5000
2009-01-22T00:00:00.000Z,4550,,,,,,,,,,,,,,,,,,4550
2009-01-23T00:00:00.000Z,4050,,,,,,,,,,,,,,,,,,4050
2009-01-24T00:00:00.000Z,9550,,,,,,,,,,,,,,,,,,9550
2009-01-25T00:00:00.000Z,9550,,,,,,,,,,,,,,,,,,9550
2009-01-26T00:00:00.000Z,4800,,,,,,,,,,,,,,,,,,4800
2009-01-27T00:00:00.000Z,4700,,,,,,,,,,,,,,,,,,4700
2009-01-28T00:00:00.000Z,5600,,,,,,,,,,,,,,,,,,5600
2009-01-29T00:00:00.000Z,6050,,,,,,,,,,,,,,,,,,6050
2009-01-30T00:00:00.000Z,5850,,,,,,,,,,,,,,,,,,5850
2009-01-31T00:00:00.000Z,5900,,,,,,,,,,,,,,,,,,5900
2009-02-01T00:00:00.000Z,5650,,,,,,,,,,,,,,,,,,5650
2009-02-02T00:00:00.000Z,6350,,,,,,,,,,,,,,,,,,6350
2009-02-03T00:00:00.000Z,6950,,,,,,,,,,,,,,,,,,6950
2009-02-04T00:00:00.000Z,5950,,,,,,,,,,,,,,,,,,5950
2009-02-05T00:00:00.000Z,6300,,,,,,,,,,,,,,,,,,6300
2009-02-06T00:00:00.000Z,6100,,,,,,,,,,,,,,,,,,6100
2009-02-07T00:00:00.000Z,5300,,,,,,,,,,,,,,,,,,5300
2009-02-08T00:00:00.000Z,7600,,,,,,,,,,,,,,,,,,7600
2009-02-09T00:00:00.000Z,6700,,,,,,,,,,,,,,,,,,6700
2009-02-10T00:00:00.000Z,6000,,,,,,,,,,,,,,,,,,6000
2009-02-11T00:00:00.000Z,6099.96,,,,,,,,,,,,,,,,,,6099.96
2009-02-12T00:00:00.000Z,5950,,,,,,,,,,,,,,,,,,5950
2009-02-13T00:00:00.000Z,6200,,,,,,,,,,,,,,,,,,6200
2009-02-14T00:00:00.000Z,6800,,,,,,,,,,,,,,,,,,6800
2009-02-15T00:00:00.000Z,5850,,,,,,,,,,,,,,,,,,5850
2009-02-16T00:00:00.000Z,6100,,,,,,,,,,,,,,,,,,6100
2009-02-17T00:00:00.000Z,5850,,,,,,,,,,,,,,,,,,5850
2009-02-18T00:00:00.000Z,5900,,,,,,,,,,,,,,,,,,5900
2009-02-19T00:00:00.000Z,6200,,,,,,,,,,,,,,,,,,6200
2009-02-20T00:00:00.000Z,6100,,,,,,,,,,,,,,,,,,6100
2009-02-21T00:00:00.000Z,5700,,,,,,,,,,,,,,,,,,5700
2009-02-22T00:00:00.000Z,5650,,,,,,,,,,,,,,,,,,5650
2009-02-23T00:00:00.000Z,5400,,,,,,,,,,,,,,,,,,5400
2009-02-24T00:00:00.000Z,5300,,,,,,,,,,,,,,,,,,5300
2009-02-25T00:00:00.000Z,5250,,,,,,,,,,,,,,,,,,5250
2009-02-26T00:00:00.000Z,5350,,,,,,,,,,,,,,,,,,5350
2009-02-27T00:00:00.000Z,5750,,,,,,,,,,,,,,,,,,5750
2009-02-28T00:00:00.000Z,4600,,,,,,,,,,,,,,,,,,4600
2009-03-01T00:00:00.000Z,5250,,,,,,,,,,,,,,,,,,5250
2009-03-02T00:00:00.000Z,5400,,,,,,,,,,,,,,,,,,5400
2009-03-03T00:00:00.000Z,4850,,,,,,,,,,,,,,,,,,4850
2009-03-04T00:00:00.000Z,5200,,,,,,,,,,,,,,,,,,5200
2009-03-05T00:00:00.000Z,5600,,,,,,,,,,,,,,,,,,5600
2009-03-06T00:00:00.000Z,5850,,,,,,,,,,,,,,,,,,5850
2009-03-07T00:00:00.000Z,5450,,,,,,,,,,,,,,,,,,5450
2009-03-08T00:00:00.000Z,4550,,,,,,,,,,,,,,,,,,4550
2009-03-09T00:00:00.000Z,5400,,,,,,,,,,,,,,,,,,5400
