DateTime,All Miners,Poolin,Viabtc,Antpool,1thash&58coin,Binance,Bitclub Network,Bitfury,Bixin,Btc.Top,Btcc Pool,Btccom,Bw.Com,F2pool,Foundryusapool,Huobi.Pool,Slushpool,Others,Unknown
2009-01-03T00:00:00.000Z,50,,,,,,,,,,,,,,,,,,50
2009-01-04T00:00:00.000Z,50,,,,,,,,,,,,,,,,,,50
2009-01-05T00:00:00.000Z,50,,,,,,,,,,,,,,,,,,50
2009-01-06T00:00:00.000Z,50,,,,,,,,,,,,,,,,,,50
2009-01-07T00:00:00.000Z,50,,,,,,,,,,,,,,,,,,50
2009-01-08T00:00:00.000Z,50,,,,,,,,,,,,,,,,,,50
2009-01-09T00:00:00.000Z,750,,,,,,,,,,,,,,,,,,750
2009-01-10T00:00:00.000Z,3800,,,,,,,,,,,,,,,,,,3800
2009-01-11T00:00:00.000Z,8450,,,,,,,,,,,,,,,,,,8450
2009-01-12T00:00:00.000Z,13139,,,,,,,,,,,,,,,,,,13139
2009-01-13T00:00:00.000Z,19289,,,,,,,,,,,,,,,,,,19289
2009-01-14T00:00:00.000Z,25678,,,,,,,,,,,,,,,,,,25678
2009-01-15T00:00:00.000Z,31628,,,,,,,,,,,,,,,,,,31628
2009-01-16T00:00:00.000Z,36928,,,,,,,,,,,,,,,,,,36928
2009-01-17T00:00:00.000Z,42378,,,,,,,,,,,,,,,,,,42378
2009-01-18T00:00:00.000Z,47578,,,,,,,,,,,,,,,,,,47578
2009-01-19T00:00:00.000Z,53328,,,,,,,,,,,,,,,,,,53328
2009-01-20T00:00:00.000Z,59028,,,,,,,,,,,,,,,,,,59028
2009-01-21T00:00:00.000Z,64028,,,,,,,,,,,,,,,,,,64028
2009-01-22T00:00:00.000Z,68578,,,,,,,,,,,,,,,,,,68578
2009-01-23T00:00:00.000Z,72628,,,,,,,,,,,,,,,,,,72628
2009-01-24T00:00:00.000Z,82178,,,,,,,,,,,,,,,,,,82178
2009-01-25T00:00:00.000Z,91728,,,,,,,,,,,,,,,,,,91728
2009-01-26T00:00:00.000Z,96528,,,,,,,,,,,,,,,,,,96528
2009-01-27T00:00:00.000Z,101228,,,,,,,,,,,,,,,,,,101228
2009-01-28T00:00:00.000Z,106828,,,,,,,,,,,,,,,,,,106828
2009-01-29T00:00:00.000Z,112878,,,,,,,,,,,,,,,,,,112878
2009-01-30T00:00:00.000Z,118728,,,,,,,,,,,,,,,,,,118728
2009-01-31T00:00:00.000Z,124628,,,,,,,,,,,,,,,,,,124628
2009-02-01T00:00:00.000Z,130278,,,,,,,,,,,,,,,,,,130278
2009-02-02T00:00:00.000Z,136628,,,,,,,,,,,,,,,,,,136628
2009-02-03T00:00:00.000Z,143578,,,,,,,,,,,,,,,,,,143578
2009-02-04T00:00:00.000Z,149528,,,,,,,,,,,,,,,,,,149528
2009-02-05T00:00:00.000Z,155828,,,,,,,,,,,,,,,,,,155828
2009-02-06T00:00:00.000Z,161928,,,,,,,,,,,,,,,,,,161928
2009-02-07T00:00:00.000Z,167228,,,,,,,,,,,,,,,,,,167228
2009-02-08T00:00:00.000Z,174828,,,,,,,,,,,,,,,,,,174828
2009-02-09T00:00:00.000Z,181528,,,,,,,,,,,,,,,,,,181528
2009-02-10T00:00:00.000Z,187528,,,,,,,,,,,,,,,,,,187528
2009-02-11T00:00:00.000Z,193627.96,,,,,,,,,,,,,,,,,,193627.96
2009-02-12T00:00:00.000Z,199577.96,,,,,,,,,,,,,,,,,,199577.96
